Year,Democratic Party,Republican Party,Tea Party Movement,Supreme Court,House of Representatives,Senate,Mitt Romney,Jeb Bush,Ted Cruz,Rand Paul,Hillary Clinton,Donald Trump,Merrick Garland,Joe Biden,Kamala D. Harris,Barack Obama
2010,51096,50864,46517,,,,,,,,,,,,,51392
2011,18052,17985,16708,16575,,,,,,,,,,,,18178
2012,67058,66292,62939,62946,17203,17359,64710,,,,,,,,,67694
2013,14329,14256,13039,13296,,,13931,,,,,,,,,14432
2014,56586,56446,52023,53009,8621,8637,,40757,34864,37064,48553,,,,,58029
2015,11994,11863,,10954,,,,,,,,,,,,12045
2016,56293,55591,,52375,,,,,,,57072,49490,5501,,,57416
2017,15698,15555,,14080,,,,,,,,13944,,,,
2018,53726,53409,,50924,,,,,,,,49826,,,,
2019,15957,15755,,14543,,,,,,,,14311,,,,
2020,53017,52347,,,,,,,,,,48380,,53037,,
2021,22834,22395,,,,,,,,,,20770,,22972,,
2022,53242,52333,,49397,,,,,,,,49301,,53259,,
2023,21371,21176,,20100,,,,,,,,20341,,21508,,
2024,54403,53379,,50943,,,,,,,,50376,,54567,54678,
